run_id,thread_count,io_threads,ssd_threads,query_id,thread_id,query_start_ns,query_end_ns,total_latency_ms,head_latency_ms,ex_latency_ms,io_issue_ms,io_wait_ms,batch_read_total_ms,posting_decode_ms,posting_parse_ms,distance_calc_ms,postings_touched,pages_read,requested_read_bytes,posting_elements_raw,metadata_read_bytes,code_logical_bytes,code_physical_bytes,payload_logical_bytes,payload_physical_bytes,distance_evaluated_count,duplicate_vector_count,coarse_candidate_count_before_dedupe,coarse_candidate_count_after_dedupe,rerank_candidate_count,final_result_count,coarse_candidate_hash,payload_page_hash,final_result_hash,recall,unique_payload_pages,payload_candidates,postings_with_payload,total_payload_page_spans,truth_count,coarse_recall,coarse_recall_after_dedupe,rerank_recall,final_recall,truth_recovered_by_head_result,truth_dropped_per_posting_topr,truth_dropped_global_topr,truth_dropped_rerank_topk,truth_missing_not_observed_in_scanned_posting,truth_missing_not_in_posting_reserved
run_1777697980835,1,4,1,39,0,133155773131753,133155777031210,3.900000,0.453000,3.447000,0.000000,0.000000,1.577133,0.000000,0.000000,0.000000,64,96,393216,3657,0,87768,0,32768,393216,256,0,3657,2883,256,10,6561065167355799469,14046662876993922289,2756296286072329122,0.900000,96,256,54,261,10,10,10,9,9,0,0,1,0,0,0
run_1777697980835,1,4,1,40,0,133155777031273,133155781210325,4.179000,0.405000,3.774000,0.000000,0.000000,1.698473,0.000000,0.000000,0.000000,64,104,425984,4005,0,96120,0,32768,425984,256,0,4005,3375,256,10,11887142438782015487,16518080511965839397,360250118567115645,1.000000,104,256,56,261,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,41,0,133155781210416,133155783779765,2.569000,0.334000,2.235000,0.000000,0.000000,1.123402,0.000000,0.000000,0.000000,64,67,274432,1888,0,45312,0,32768,274432,256,0,1888,1531,256,10,11889249152963091494,7471277541413162208,7148079598519959806,0.900000,67,256,54,257,10,7,7,7,9,2,0,0,0,1,0
run_1777697980835,1,4,1,42,0,133155783779841,133155787949910,4.170000,0.382000,3.788000,0.000000,0.000000,1.690221,0.000000,0.000000,0.000000,64,104,425984,4146,0,99504,0,32768,425984,256,0,4146,3491,256,10,14941067787500590442,841806288119296373,2648113436744986313,1.000000,104,256,57,258,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,43,0,133155787949988,133155791956780,4.006000,0.398000,3.608000,0.000000,0.000000,1.527446,0.000000,0.000000,0.000000,64,94,385024,3775,0,90600,0,32768,385024,256,0,3775,3435,256,10,13085936023412030805,1645421545088034820,12373746047509408061,1.000000,94,256,57,258,10,10,10,10,10,0,0,0,0,0,0
run_1777697980835,1,4,1,44,0,133155791956877,133155796032615,4.076000,0.453000,3.623000,0.000000,0.000000,1.587852,0.000000,0.000000,0.000000,64,97,397312,4030,0,96720,0,32768,397312,256,0,4030,3193,256,10,9562262355378259699,5865661293549963453,8964858498146148373,1.000000,97,256,54,256,10,10,10,10,10,0,0,0,0,0,0
run_1777697980835,1,4,1,45,0,133155796032702,133155800085184,4.053000,0.401000,3.652000,0.000000,0.000000,1.684786,0.000000,0.000000,0.000000,64,98,401408,3782,0,90768,0,32768,401408,256,0,3782,3096,256,10,12525002823150153699,173079838692070558,10290211518512874280,1.000000,98,256,53,262,10,9,9,9,10,1,0,0,0,0,0
run_1777697980835,1,4,1,46,0,133155800085248,133155803457623,3.372000,0.443000,2.929000,0.000000,0.000000,1.441269,0.000000,0.000000,0.000000,64,86,352256,2820,0,67680,0,32768,352256,256,0,2820,2198,256,10,12441446334474894315,2344056155851956815,631869265723973747,1.000000,86,256,54,262,10,8,8,8,10,2,0,0,0,0,0
run_1777697980835,1,4,1,47,0,133155803457674,133155807099960,3.643000,0.383000,3.260000,0.000000,0.000000,1.495944,0.000000,0.000000,0.000000,64,94,385024,3210,0,77040,0,32768,385024,256,0,3210,2888,256,10,8649150988351084513,5764048399184265966,15513135363718331719,0.600000,94,256,51,265,10,9,9,6,6,0,0,3,0,1,0
run_1777697980835,1,4,1,48,0,133155807100036,133155810404129,3.304000,0.363000,2.941000,0.000000,0.000000,1.396936,0.000000,0.000000,0.000000,64,81,331776,2852,0,68448,0,32768,331776,256,0,2852,2384,256,10,6411155073954006722,1461538483217949928,11213777674991321544,1.000000,81,256,55,261,10,7,7,7,10,3,0,0,0,0,0
