sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
206754424024244,206754524698510,sda,15832,8105984,76.786939,0,8.502669,856
206754524698510,206754625375046,sda,15144,7753728,73.448408,0,8.790529,885
206754625375046,206754726086973,sda,15664,8019968,75.943711,0,8.678217,874
206754726086973,206754826814447,sda,13632,6979584,66.081772,0,7.296917,735
206754826814447,206754927535392,sda,12424,6361088,60.229838,0,7.873238,793
206754927535392,206755028164409,sda,14536,7442432,70.532899,0,8.625743,868
206755028164409,206755128826559,sda,13584,6955008,65.891822,0,8.434153,849
206755128826559,206755229566623,sda,15000,7680000,72.704130,0,8.437557,850
206755229566623,206755330314100,sda,14776,7565312,71.613146,0,8.089533,815
206755330314100,206755431154630,sda,13688,7008256,66.278844,0,8.419234,849
206755431154630,206755531879739,sda,15552,7962624,75.390834,0,9.372042,944
206755531879739,206755632544953,sda,13408,6864896,65.036121,0,8.612707,867
206755632544953,206755733525448,sda,13208,6762496,63.865985,0,9.308728,940
206755733525448,206755834273515,sda,14208,7274496,68.859882,0,8.188743,825
206755834273515,206755935012858,sda,15552,7962624,75.380182,0,9.172186,924
206755935012858,206756035653161,sda,16360,8376320,79.374575,0,10.343769,1041
206756035653161,206756136450191,sda,13120,6717440,63.555940,0,7.212514,727
206756136450191,206756237184574,sda,16624,8511488,80.580108,0,9.172638,924
206756237184574,206756337817152,sda,15296,7831552,74.218013,0,9.052734,911
206756337817152,206756438580429,sda,12344,6320128,59.816869,0,7.155385,721
206756438580429,206756539231214,sda,17568,8994816,85.226608,0,9.349157,941
206756539231214,206756639950215,sda,15080,7720960,73.107171,0,8.945680,901
206756639950215,206756740723354,sda,14032,7184384,67.989968,0,7.432536,749
206756740723354,206756841403140,sda,15776,8077312,76.511138,0,9.048490,911
206756841403140,206756942106760,sda,16208,8298496,78.587666,0,9.493204,956
206756942106760,206757042865326,sda,13224,6770688,64.084192,0,7.661880,772
206757042865326,206757143603192,sda,16720,8560640,81.042639,0,10.045875,1012
206757143603192,206757244292743,sda,16688,8544256,80.926347,0,10.606860,1068
206757244292743,206757345181118,sda,13736,7032832,66.479723,0,8.127795,820
206757345181118,206757446028658,sda,13168,6742016,63.756513,0,7.506380,757
206757446028658,206757546720452,sda,16432,8413184,79.683132,0,9.206311,927
206757546720452,206757647431823,sda,14616,7483392,70.863088,0,8.628619,869
206757647431823,206757748160450,sda,13672,7000064,66.274916,0,7.376255,743
206757748160450,206757848840407,sda,16272,8331264,78.916527,0,9.316651,938
206757848840407,206757949626716,sda,14632,7491584,70.887914,0,8.066572,813
206757949626716,206758050393476,sda,14808,7581696,71.754503,0,8.346006,841
206758050393476,206758151147458,sda,16264,8327168,78.819776,0,9.190704,926
206758151147458,206758252039989,sda,14176,7258112,68.606416,0,8.018433,809
206758252039989,206758352790257,sda,12880,6594560,62.422291,0,7.374670,743
206758352790257,206758453599987,sda,12432,6365184,60.215542,0,7.241364,730
206758453599987,206758554368834,sda,16104,8245248,78.032859,0,11.451952,1154
206758554368834,206758655097856,sda,16328,8359936,79.149545,0,9.341896,941
206758655097856,206758755838456,sda,11992,6139904,58.124220,0,6.839348,689
206758755838456,206758856748668,sda,12808,6557696,61.974959,0,8.462969,854
206758856748668,206758957575225,sda,14760,7557120,71.479494,0,9.223760,930
206758957575225,206759058387597,sda,17992,9211904,87.143632,0,10.296355,1038
206759058387597,206759159095149,sda,13448,6885376,65.202719,0,8.480000,854
206759159095149,206759259836677,sda,14520,7434240,70.376575,0,8.387802,845
206759259836677,206759360633244,sda,14232,7286784,68.943010,0,8.760219,883
206759360633244,206759461404826,sda,15224,7794688,73.766766,0,9.625730,970
206759461404826,206759562255612,sda,13736,7032832,66.504502,0,7.902764,797
206759562255612,206759662996892,sda,14016,7176192,67.933919,0,8.616130,868
206759662996892,206759763733023,sda,14144,7241728,68.557825,0,8.964013,903
206759763733023,206759864458059,sda,14448,7397376,70.039067,0,8.607592,867
206759864458059,206759965164413,sda,12856,6582272,62.333145,0,7.397746,745
206759965164413,206760065847215,sda,17024,8716288,82.561270,0,10.150691,1022
206760065847215,206760166614821,sda,14016,7176192,67.916171,0,8.455098,852
206760166614821,206760267400914,sda,14088,7213056,68.252534,0,8.126121,819
206760267400914,206760368096337,sda,15944,8163328,77.313904,0,9.146394,921
