sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
213380121751923,213380222405066,sda,11456,5865472,55.574519,0,6.278989,632
213380222405066,213380323066573,sda,11168,5718016,54.172893,0,6.834787,688
213380323066573,213380423836614,sda,12936,6623232,62.681390,0,7.125134,718
213380423836614,213380524626278,sda,11504,5890048,55.731781,0,6.528447,658
213380524626278,213380625138988,sda,12744,6524928,61.909148,0,7.640825,768
213380625138988,213380725663972,sda,13560,6942720,65.865156,0,7.749317,779
213380725663972,213380826328507,sda,10512,5382144,50.989283,0,6.506760,655
213380826328507,213380926890355,sda,13184,6750208,64.015331,0,9.645805,970
213380926890355,213381027543246,sda,11368,5820416,55.147758,0,6.716151,676
213381027543246,213381128338776,sda,13728,7028736,66.502205,0,8.065834,813
213381128338776,213381228866118,sda,13168,6742016,63.959589,0,7.609870,765
213381228866118,213381329709059,sda,11200,5734400,54.230370,0,6.524998,658
213381329709059,213381430398395,sda,12560,6430720,60.908262,0,7.468517,752
213381430398395,213381531058667,sda,12512,6406144,60.693011,0,7.162707,721
213381531058667,213381631725227,sda,12704,6504448,61.620512,0,6.933782,698
213381631725227,213381732388324,sda,13168,6742016,63.873333,0,7.371122,742
213381732388324,213381833068296,sda,11920,6103040,57.810033,0,6.346843,639
213381833068296,213381933652604,sda,11880,6082560,57.670837,0,6.760498,680
213381933652604,213382034282357,sda,13272,6795264,64.399132,0,7.453064,750
213382034282357,213382134832259,sda,9984,5111808,48.483389,0,6.096475,613
213382134832259,213382235424332,sda,12624,6463488,61.277816,0,7.495620,754
213382235424332,213382336150280,sda,8888,4550656,43.085658,0,5.629135,567
213382336150280,213382436742958,sda,13672,7000064,66.364485,0,8.996679,905
213382436742958,213382537461185,sda,10936,5599232,53.017650,0,7.168514,722
213382537461185,213382637887599,sda,13912,7122944,67.641256,0,8.772592,881
213382637887599,213382738502185,sda,8600,4403200,41.735686,0,5.824205,586
213382738502185,213382839040391,sda,9904,5070848,48.100495,0,6.823277,686
213382839040391,213382939631816,sda,12352,6324224,59.957894,0,7.127844,717
213382939631816,213383040148601,sda,11928,6107136,57.942748,0,7.889230,793
213383040148601,213383140708971,sda,11504,5890048,55.858859,0,7.120101,716
213383140708971,213383241259960,sda,11696,5988352,56.796433,0,7.180437,722
213383241259960,213383342041762,sda,11904,6094848,57.674103,0,7.044923,710
213383342041762,213383442662974,sda,12608,6455296,61.182427,0,8.238819,829
213383442662974,213383543173827,sda,11720,6000640,56.935705,0,7.471830,751
213383543173827,213383643841073,sda,11992,6139904,58.166573,0,8.334389,839
213383643841073,213383744495434,sda,13344,6832128,64.732665,0,7.878447,793
213383744495434,213383845033069,sda,14344,7344128,69.664522,0,8.484385,853
213383845033069,213383945634633,sda,13152,6733824,63.834743,0,7.266289,731
213383945634633,213384046153671,sda,15136,7749632,73.524629,0,8.336729,838
