sample_start_ns,sample_end_ns,cpu_idle_percent,cpu_iowait_percent,total_jiffies_delta,idle_jiffies_delta,iowait_jiffies_delta
266035146848667,266035247705452,83.018868,0.628931,159,132,1
266035247705452,266035348251171,83.125000,0.625000,160,133,1
266035348251171,266035449115823,74.375000,0.625000,160,119,1
266035449115823,266035550460965,74.050633,0.000000,158,117,0
266035550460965,266035651471071,74.683544,0.632911,158,118,1
266035651471071,266035752092633,73.125000,0.625000,160,117,1
266035752092633,266035853863693,70.625000,0.000000,160,113,0
266035853863693,266035954847523,74.050633,0.632911,158,117,1
266035954847523,266036055796735,76.582278,1.265823,158,121,2
266036055796735,266036156411090,80.254777,0.636943,157,126,1
266036156411090,266036257785907,77.018634,0.621118,161,124,1
266036257785907,266036358410680,82.165605,0.000000,157,129,0
266036358410680,266036459026990,79.113924,0.000000,158,125,0
266036459026990,266036559579120,71.069182,0.628931,159,113,1
266036559579120,266036660179145,72.151899,0.000000,158,114,0
266036660179145,266036760643759,70.700637,0.636943,157,111,1
266036760643759,266036861247701,68.789809,0.000000,157,108,0
266036861247701,266036961841937,72.500000,0.625000,160,116,1
266036961841937,266037063332727,71.698113,0.628931,159,114,1
266037063332727,266037164458068,71.875000,0.625000,160,115,1
266037164458068,266037264967735,70.440252,0.628931,159,112,1
266037264967735,266037365635823,71.875000,0.625000,160,115,1
266037365635823,266037466660973,77.215190,0.000000,158,122,0
266037466660973,266037567246803,79.245283,0.628931,159,126,1
266037567246803,266037667825532,78.750000,0.625000,160,126,1
266037667825532,266037768345265,79.617834,0.000000,157,125,0
266037768345265,266037868917186,75.625000,0.625000,160,121,1
266037868917186,266037969502153,76.923077,0.000000,156,120,0
266037969502153,266038070091690,77.215190,0.632911,158,122,1
266038070091690,266038170635898,84.375000,0.625000,160,135,1
266038170635898,266038271149352,75.949367,0.000000,158,120,0
266038271149352,266038371769172,79.503106,0.621118,161,128,1
266038371769172,266038472467555,79.113924,0.000000,158,125,0
266038472467555,266038573132305,79.874214,1.886792,159,127,3
266038573132305,266038673783354,78.616352,1.257862,159,125,2
266038673783354,266038774839814,81.012658,0.000000,158,128,0
266038774839814,266038875473241,78.881988,0.621118,161,127,1
266038875473241,266038976062547,84.276730,0.000000,159,134,0
266038976062547,266039076613691,79.874214,0.000000,159,127,0
266039076613691,266039177284944,79.503106,0.621118,161,128,1
266039177284944,266039277848975,76.582278,0.000000,158,121,0
266039277848975,266039378535484,79.874214,0.000000,159,127,0
266039378535484,266039479339201,73.750000,0.625000,160,118,1
266039479339201,266039579914106,80.000000,0.625000,160,128,1
266039579914106,266039680493956,79.874214,0.000000,159,127,0
266039680493956,266039781878635,79.245283,0.628931,159,126,1
266039781878635,266039882308757,73.248408,0.000000,157,115,0
266039882308757,266039982965281,77.018634,0.621118,161,124,1
266039982965281,266040083590666,72.784810,1.265823,158,115,2
266040083590666,266040184276549,82.802548,0.000000,157,130,0
266040184276549,266040284903984,82.608696,0.621118,161,133,1
266040284903984,266040385493392,85.000000,0.000000,160,136,0
266040385493392,266040486032161,85.443038,0.000000,158,135,0
266040486032161,266040586610760,83.647799,0.000000,159,133,0
266040586610760,266040687281220,84.276730,0.000000,159,134,0
266040687281220,266040787808090,83.647799,0.000000,159,133,0
266040787808090,266040888509275,81.875000,0.625000,160,131,1
266040888509275,266040989082732,83.647799,0.000000,159,133,0
266040989082732,266041089739511,81.875000,1.250000,160,131,2
266041089739511,266041190329382,84.810127,0.000000,158,134,0
266041190329382,266041290842115,84.276730,0.000000,159,134,0
266041290842115,266041391346089,84.810127,0.000000,158,134,0
266041391346089,266041492018239,82.608696,0.621118,161,133,1
266041492018239,266041592642197,83.544304,0.000000,158,132,0
266041592642197,266041693367450,84.375000,0.000000,160,135,0
266041693367450,266041793940027,81.132075,0.628931,159,129,1
266041793940027,266041895092277,82.389937,0.000000,159,131,0
266041895092277,266041995721758,80.124224,0.000000,161,129,0
266041995721758,266042096608286,83.018868,0.628931,159,132,1
266042096608286,266042197248212,39.622642,0.000000,159,63,0
266042197248212,266042298012505,65.625000,0.625000,160,105,1
266042298012505,266042398750024,82.278481,0.000000,158,130,0
266042398750024,266042499501423,85.714286,0.621118,161,138,1
266042499501423,266042600097003,81.761006,0.000000,159,130,0
266042600097003,266042700954357,81.645570,0.000000,158,129,0
266042700954357,266042801554239,78.881988,0.000000,161,127,0
266042801554239,266042902113607,76.100629,0.628931,159,121,1
266042902113607,266043002754287,69.620253,0.000000,158,110,0
266043002754287,266043103959684,67.500000,1.250000,160,108,2
