sample_start_ns,sample_end_ns,device,sectors_read_delta,read_bytes_delta,read_bandwidth_mbs,io_in_progress,avg_queue_depth,weighted_io_ms_delta
266066477602769,266066578330278,sda,3296,1687552,15.977512,0,0.843861,85
266066578330278,266066678915817,sda,2576,1318912,12.504904,0,0.735692,74
266066678915817,266066779621532,sda,4032,2064384,19.549536,0,1.390189,140
266066779621532,266066880259734,sda,2792,1429504,13.546359,0,0.794927,80
266066880259734,266066980852674,sda,3344,1712128,16.231880,0,0.805225,81
266066980852674,266067081830706,sda,2216,1134592,10.715511,0,0.584286,59
266067081830706,266067182531463,sda,3736,1912832,18.115244,0,0.903667,91
266067182531463,266067283512733,sda,3344,1712128,16.169459,0,0.792226,80
266067283512733,266067384332218,sda,4136,2117632,20.031160,0,0.972034,98
266067384332218,266067485254556,sda,3632,1859584,17.572299,0,0.911592,92
266067485254556,266067586291579,sda,3408,1744896,16.469829,0,0.752200,76
266067586291579,266067686925943,sda,4808,2461696,23.328574,0,1.202373,121
266067686925943,266067787572599,sda,3176,1626112,15.408175,0,0.725310,73
266067787572599,266067888308704,sda,4448,2277376,21.560045,0,1.101889,111
266067888308704,266067988963252,sda,5016,2568192,24.332917,0,1.102782,111
266067988963252,266068090460400,sda,5792,2965504,27.864083,0,1.339939,136
266068090460400,266068191032747,sda,4616,2363392,22.410795,0,1.093740,110
266068191032747,266068291729791,sda,4968,2543616,24.089895,0,1.281070,129
266068291729791,266068392299542,sda,5032,2576384,24.431116,0,1.223032,123
266068392299542,266068492770786,sda,5160,2641920,25.077138,0,1.283949,129
266068492770786,266068593293571,sda,4112,2105344,19.973705,0,1.014695,102
266068593293571,266068693872376,sda,5736,2936832,27.846635,0,1.471483,148
266068693872376,266068794563612,sda,3568,1826816,17.302275,0,0.933547,94
266068794563612,266068895219070,sda,3992,2043904,19.365256,0,0.953749,96
266068895219070,266068995871763,sda,2792,1429504,13.544409,0,0.735201,74
266068995871763,266069096661786,sda,3648,1867776,17.672880,0,0.823494,83
266069096661786,266069197199735,sda,2952,1511424,14.336937,0,0.785773,79
266069197199735,266069298187892,sda,3424,1753088,16.555159,0,0.920900,93
266069298187892,266069398694613,sda,3048,1560576,14.807778,0,0.776068,78
266069398694613,266069499990747,sda,4744,2428928,22.867667,0,1.145157,116
266069499990747,266069600621271,sda,3640,1863680,17.662074,0,1.242168,125
266069600621271,266069701499013,sda,2608,1335296,12.623573,0,0.723648,73
266069701499013,266069802133902,sda,2768,1417216,13.430357,0,0.775079,78
266069802133902,266069903087870,sda,4624,2367488,22.364772,0,1.188661,120
266069903087870,266070003676279,sda,4408,2256896,21.397532,0,1.192980,120
