sample_start_ns,sample_end_ns,psi_io_some_total_us,psi_io_full_total_us,psi_io_some_delta_us,psi_io_full_delta_us
213925289065786,213925390312533,319957614,312045144,0,0
213925390312533,213925491538448,319957614,312045144,0,0
213925491538448,213925592329234,319957614,312045144,0,0
213925592329234,213925693527477,319957614,312045144,0,0
213925693527477,213925794888162,319957614,312045144,0,0
213925794888162,213925896768358,319957616,312045146,2,2
213925896768358,213925998169411,319957616,312045146,0,0
213925998169411,213926099546884,319957616,312045146,0,0
213926099546884,213926200644985,319957616,312045146,0,0
213926200644985,213926302020981,319957619,312045148,3,2
213926302020981,213926402786523,319957626,312045155,7,7
213926402786523,213926504184879,319957626,312045155,0,0
213926504184879,213926605468129,319957626,312045155,0,0
213926605468129,213926706699854,319957626,312045155,0,0
213926706699854,213926808190458,319957626,312045155,0,0
213926808190458,213926910052154,319957626,312045155,0,0
213926910052154,213927011307526,319957626,312045155,0,0
213927011307526,213927112134103,319957626,312045155,0,0
213927112134103,213927212784574,319958320,312045716,694,561
213927212784574,213927313514075,319958320,312045716,0,0
213927313514075,213927414266409,319958320,312045716,0,0
213927414266409,213927514903712,319958320,312045716,0,0
213927514903712,213927615645709,319958320,312045716,0,0
213927615645709,213927716414737,319958320,312045716,0,0
213927716414737,213927817077683,319958334,312045730,14,14
213927817077683,213927917881060,319958334,312045730,0,0
213927917881060,213928018658300,319958334,312045730,0,0
213928018658300,213928119358245,319958334,312045730,0,0
213928119358245,213928220084620,319958811,312046205,477,475
213928220084620,213928320859765,319958826,312046217,15,12
213928320859765,213928421576441,319958826,312046217,0,0
213928421576441,213928522394879,319958826,312046217,0,0
213928522394879,213928623155991,319958826,312046217,0,0
213928623155991,213928723922725,319958826,312046217,0,0
213928723922725,213928824604562,319958844,312046231,18,14
213928824604562,213928925363499,319958844,312046231,0,0
213928925363499,213929026120815,319958844,312046231,0,0
213929026120815,213929126845433,319958844,312046231,0,0
213929126845433,213929227604002,319958844,312046231,0,0
213929227604002,213929328317634,319958862,312046249,18,18
213929328317634,213929429077067,319958862,312046249,0,0
213929429077067,213929529824672,319958862,312046249,0,0
213929529824672,213929630612529,319958862,312046249,0,0
213929630612529,213929731405685,319958862,312046249,0,0
213929731405685,213929832090194,319958862,312046249,0,0
213929832090194,213929932961287,319964105,312051428,5243,5179
213929932961287,213930034732461,319966658,312053940,2553,2512
213930034732461,213930136770422,319969645,312056883,2987,2943
213930136770422,213930238100162,319969645,312056883,0,0
213930238100162,213930339271576,319969645,312056883,0,0
213930339271576,213930439997571,319969645,312056883,0,0
213930439997571,213930541469578,319969645,312056883,0,0
213930541469578,213930642843788,319969645,312056883,0,0
213930642843788,213930744404603,319969645,312056883,0,0
213930744404603,213930845577691,319969645,312056883,0,0
213930845577691,213930946857559,319969645,312056883,0,0
213930946857559,213931048271715,319969645,312056883,0,0
213931048271715,213931149653916,319969645,312056883,0,0
213931149653916,213931250729315,319969645,312056883,0,0
